Number,Konkani Word in Devnagiri,Konkani word in English alphabet,English Meaning,Context/usage in a sentence,Does the Devnagiri Spelling need correction? (Y/N),Does the meaning need correction? (Y/N),Corrected Devnagiri Spelling by user X,Corrected Devnagiri Spelling by user Y,Corrected English meaning by user X,Corrected English meaning by user Y
1201,खाॅट्टो,,idly made in stiched up leaves; idly cooked in jackfruit leaves as covering,,,,,,,
1202,खुब्बो,,shell fish; oyster; oysters,,,,,,,
1203,खुर्चि,,chair,,,,,,,
1204,खुशाल,,fun,,,,,,,
1205,मस्त,,numerous; more; lots; many,,,,,,,
1206,किडोचे,,teasing,,,,,,,
1207,कीडो,,worm,,,,,,,
1208,कीर्लु,Keerlu; keerlu,bamboo shoot; Bamboo shoot,,,,,,,
1209,कीर्ति,,fame,,,,,,,
1210,कीरु,,parrot,,,,,,,
1211,किम्मुसु,,fruitfly,,,,,,,
1212,किळ्चुचें/किर्डूचें,,scream,,,,,,,
1213,किर्डुचे,,yelling,,,,,,,
1214,किर्गणो,,saree skirt,,,,,,,
1215,किर्गि,,"polyster, nylon sarees",,,,,,,
1216,किरिट,,crown,,,,,,,
1217,किसुळि,,wooden scrapings,,,,,,,
1218,कित्ले,,amount; how much,,,,,,,
1219,कित्लें,,how much,,,,,,,
1220,कित्थें,,what,,,,,,,
1221,कित्याकं,,why,,,,,,,
1222,काॅणं,,who,,,,,,,
1223,काॅणालें,,whose,,,,,,,
1224,तांक्का कुडांतू कोंडी,,link,,,,,,,
1225,कोंकयि,,prick,,,,,,,
1226,कोंकि,,wound on the head due to hit by sharp edged object,,,,,,,
1227,कोब्बु,,sugarcane,,,,,,,
1228,कोच्चोलु,,pieces,,,,,,,
1229,कोड्बेवु,,neem,,,,,,,
1230,कोडियाल,,Mangalore,,,,,,,
1231,कोड्के,,cow shed,,,,,,,
1232,कोद्के,,cowshed,,,,,,,
1233,कोडु,,bitter,,,,,,,
1234,कोइरु,,rubbish,,,,,,,
1235,कोइति,,sickle,,,,,,,
1236,कोक्करे,,crane,,,,,,,
1237,कोक्के,,hook,,,,,,,
1238,कोक्कु,,beak,,,,,,,
1239,काॅळॅलं,,flute,,,,,,,
1240,कोळ्चे,,knowing,,,,,,,
1241,कोळ्हम्बि,,big wooden bowl having handle on sides,,,,,,,
1242,"कोळि विंदोरु, कोळ्विंदूरू",,rodents,,,,,,,
1243,काॅल्लो,,fox,,,,,,,
1244,कोल्लो,,jackal,,,,,,,
1245,कोळ्मबुळ,,small wooden bowl with one handle,,,,,,,
1246,"/, गाॅंटार्ली",,centipede,,,,,,,
1247,कुंकडं,,hen (female),,,,,,,
1248,कोम्बो,,hen (male) / cock,,,,,,,
1249,कोम्पोरु,,elbow,,,,,,,
1250,काॅणाकं,,whom,,,,,,,
1251,कोन्ना,,angle,,,,,,,
1252,कूड़,,room,,,,,,,
1253,कोप्चे,,getting angry,,,,,,,
1254,कोपु,,anger; angry,,,,,,,
1255,कोर्चे,,doing,,,,,,,
1256,कोर्या,,lets do,,,,,,,
1257,कोथम्बरि,,coriander,,,,,,,
1258,काॅट्लॅं,,chikenpox,,,,,,,
1259,कोत्तम्बरि,,coriander,,,,,,,
1260,कोटु,,coat,,,,,,,
1261,क्रमु,,system/method,,,,,,,
1262,क्रिमि,,germs,,,,,,,
1263,क्रिश्णु,,Lord Krishna,,,,,,,
1264,क्रिया,,task,,,,,,,
1265,क्रोध,,anger,,,,,,,
1266,क्षमा,,forgiveness,,,,,,,
1267,क्षेत्र,,location; domain,,,,,,,
1268,कुंकड,,chicken; hen,,,,,,,
1269,कुंक्डा पहीलं,,chick,,,,,,,
1270,कुंटाचे,,limping,,,,,,,
1271,कुंवाळे,,ashgourd,,,,,,,
1272,कुड्के,,cut; piece,,,,,,,
1273,कुड्के कोर्चे,,brake,,,,,,,
1274,कुड्को,,piece,,,,,,,
1275,कुड्शि,,add,,,,,,,
1276,कुड्सुचे,,adding,,,,,,,
1277,कुळार,,parents house for married women,,,,,,,
1278,कुल्देवू,,deity; familys favourite god,,,,,,,
1279,कुळितु,,horse gram,,,,,,,
1280,कुळ्ळॅं,,earthen pot used to cook fish curry,,,,,,,
1281,कुल्ल्हें,,earthen pot,,,,,,,
1282,कुल्लो,,buttocks,,,,,,,
1283,कुंभांरू,,potter,,,,,,,
1284,कुम्बरंचो,,wasp,,,,,,,
1285,कुम्भ,,urn,,,,,,,
1286,कुम्भ मेळ,,holy gathering of Hindus,,,,,,,
1287,कुम्कुम,,vermillion,,,,,,,
1288,कुप्येचें/काच्चेचे,,glass,,,,,,,
1289,कोय्ती,,greed,,,,,,,
1290,कुर्चि,,chair,,,,,,,
1291,कुर्चो,,chair,,,,,,,
1292,कुर्डो,,blind,,,,,,,
1293,कुर्लो,,crab,,,,,,,
1294,कुर्वणी,,sleepy,,,,,,,
1295,कुर्वे,,basket,,,,,,,
1296,कुर्वुंचे,,drooping(feeling sleepy),,,,,,,
1297,कुश्शीलें,,rotten,,,,,,,
1298,"कुटिक, कुट्कं",,ear ring,,,,,,,
1299,"कुट्टि सोड्चे, मार्ची",,hitting the head with knuckles,,,,,,,
1300,कुटुम्ब,,family,,,,,,,
1301,कूड,,room,,,,,,,
1302,कूर्टु,,waist,,,,,,,
1303,कुय्यिं,,wheezing,,,,,,,
1304,क्यांळे,,banana,,,,,,,
1305,ल,,as,,,,,,,
1306,लॅकं,,accounts; accounts/mathematics; account,,,,,,,
1307,लॅकं कोर्सचे,,counting,,,,,,,
1308,लांब्चे,,hanging,,,,,,,
1309,लाभ,,profit,,,,,,,
1310,लाडि,,cord,,,,,,,
1311,लाग्गि,,nearby; close; near,,,,,,,
1312,लान,,smooth,,,,,,,
1313,ळाप,,flat fish,,,,,,,
1314,लाशे,,birthmark (brown or black mark on the skin or tongue),,,,,,,
1315,लाथ मार्चे,,kicking,,,,,,,
1316,लातु,,kick,,,,,,,
1317,"लाव्चे, तिंबोचें",,marinate,,,,,,,
1318,लाय्क्,,good,,,,,,,
1319,लायक,,best,,,,,,,
1320,लडाइ,,fight,,,,,,,
1321,लग्गाड् काढचें,,destroying,,,,,,,
1322,लग्गि,,nearby,,,,,,,
1323,वार्डीकं,,auspicious time for kanyadan and munji etc,,,,,,,
1324,लगूनुं,,almost,,,,,,,
1325,लज्जे,,shy,,,,,,,
1326,लकै,,push,,,,,,,
1327,लक्षण,,grace/symptoms,,,,,,,
1328,लाश्शी,,burn,,,,,,,
1329,लास्सूचें,,cremating,,,,,,,
1330,लवंग,,cloves,,,,,,,
1331,ले,,as,,,,,,,
1332,लेक,,think,,,,,,,
1333,लेक्चे,,thinking,,,,,,,
1334,लेक्क,,think,,,,,,,
1335,लेक्कनि,,did not think,,,,,,,
1336,लेक्कुनु,,conscious,,,,,,,
1337,उपासाचे,,rice/things made of rice not eaten during fasting,,,,,,,
1338,लेपु,,herbal ointment like application,,,,,,,
1339,लेवंचे,,licking,,,,,,,
1340,लिम्बियो,,lemon,,,,,,,
1341,लिट्पिटि,,delicate/brittle,,,,,,,
1342,लाॅखंड,,iron,,,,,,,
1343,लोक्कोचे,,pusshing,,,,,,,
1344,लोक्कोटो,,plastic/polythene bag,,,,,,,
1345,लोकु,,people,,,,,,,
1346,लोणि,,butter,,,,,,,
1347,लोस्सुण,,garlic,,,,,,,
1348,"लोटो, लाॅटो",,bronze mug,,,,,,,
1349,माॅड,,cloud,,,,,,,
1350,मांकडं,,plate or lid of the buDkulo,,,,,,,
1351,मंगळारु,,tuesday,,,,,,,
1352,मंगळसूत्र,,chain with 12 corals,,,,,,,
1353,मंकड,,monkey,,,,,,,
1354,म्हांतारी,,old woman,,,,,,,
1355,म्हांतारो,,old man,,,,,,,
1356,माॅडं,,cloud,,,,,,,
1357,मॅणं/दीकू,,glue / latex of jackfruit,,,,,,,
1358,मांचो,,cot; bed,,,,,,,
1359,मांध्री/मांद्री,,mat,,,,,,,
1360,मांद्रि,,mat,,,,,,,
1361,मांजी,,pomfret,,,,,,,
1362,मांकड,,monkey,,,,,,,
1363,म्हांतू/यांतून,,fathers elder brother,,,,,,,
1364,माड,,roof,,,,,,,
1365,न्हाणें नॅलं,,bathroom floor,,,,,,,
1366,माड्यां काट्टो,,circle of the coconut tree on the ground,,,,,,,
1367,माड्डो,maaDDo; maaddo,"coconut tree; coconut palm; coconut tree, palm tree",,,,,,,
1368,माग्चे,,begging,,,,,,,
1369,मागिरि,,afterwards; after; later,,,,,,,
1370,मागो,,partition in the hair,,,,,,,
1371,माई,,aunt (mothers brothers wife),,,,,,,
1372,माज्जर,,cat,,,,,,,
1373,माज्रा पील,,kitten,,,,,,,
1374,माक्का,,for me; me,,,,,,,
1375,माक्षि,,behind,,,,,,,
1376,"माळ, माsळं",,to adorn in hair,,,,,,,
1377,माळि,,upstairs; mezzanine,,,,,,,
1378,माळो,,attic; upstairs; floor; Loft,,,,,,,
1379,माम्णे,,hiccup,,,,,,,
1380,"मामोमा, माम्ममां",,grand mother,,,,,,,
1381,मामु,,uncle (mothers brother); maternal uncle,,,,,,,
1382,माणयि,,a small wooden stool a few inches high,,,,,,,
1383,म्हारग,,costly / expensive; costly; expensive,,,,,,,
1384,मार्चे,,beating or hitting,,,,,,,
1385,मारि,,hit; beat,,,,,,,
1386,मास,,flesh,,,,,,,
1387,"मासोळि, झळकें",,fish,,,,,,,
1388,मास्टर्नी,,female teacher,,,,,,,
1389,मास्ट्रु,,male teacher,,,,,,,
1390,माथे,,head,,,,,,,
1391,मात्रा,,tablet; pill,,,,,,,
1392,मात्र,,only,,,,,,,
1393,मात्ते,,head,,,,,,,
1394,मात्थे,,head,,,,,,,
1395,मात्ति,,soil,,,,,,,
1396,म्हणावं,,fathers elder brothers wife,,,,,,,
1397,मांवू,,father in law,,,,,,,
1398,गुप्त जाल्ली,,disappear,,,,,,,
1399,मायि,,mother-in-law; mother in law; uncles (mothers brother) wife; aunty,,,,,,,
1400,मडल,,branch of coconut tree,,,,,,,
1401,"मड्चि, मोड्ची",,fold,,,,,,,
1402,मड्डे,,dead body,,,,,,,
1403,मद्धड,,sluggish,,,,,,,
1404,मड्डो,,palm tree,,,,,,,
1405,मड्डु,,residue,,,,,,,
1406,मद्द्येन्तु,,"among, in the centre",,,,,,,
1407,मडॅं,,dead body,,,,,,,
1408,मड्या कायळों/काईळो,,vulture,,,,,,,
1409,मध्ध्ये,,among,,,,,,,
1410,मधेंतु,,between,,,,,,,
1411,सुरू पिव्चो,,alcohol,,,,,,,
1412,मद्रात्री,,mid night,,,,,,,
1413,मद्ये,,"in between, middle",,,,,,,
1414,मग्गीरि,,later,,,,,,,
1415,मगीरि,,later on,,,,,,,
1416,महिम,,grace,,,,,,,
1417,महिनो,,month,,,,,,,
1418,माय्दरं,,back door,सांजेचें वेळारी माय्दरांतू दीव्वो लायताती,,,,,,
1419,मॅळामेळी,,matching,,,,,,,
1420,मैलं,,mile,,,,,,,
1421,मैनो,,month,,,,,,,
1422,माया,,affection,,,,,,,
1423,माज्जरं,,cat,,,,,,,
1424,माज्रा पीलं,,kitten,,,,,,,
1425,मजूरि,,charge for work,,,,,,,
1426,म्हालग्डों,,elder,,,,,,,
1427,मामम्मा,,mothers mother; grandmother (maternal),,,,,,,
1428,"मन, ईच्छा",,wish,,,,,,,
1429,मन,,mind,,,,,,,
1430,मन्डळि,,committee,,,,,,,
1431,मणि,,bead,,,,,,,
1432,मणिपाल,,Manipal,,,,,,,
1433,मनिषु,,"man, human being; man",,,,,,,
1434,मरण,,death,,,,,,,
1435,म्हयनो,,naushea,,,,,,,
1436,मर्याद,,respect,,,,,,,
1437,म्हशी,,buffalo,,,,,,,
1438,मशिन्गासान्ग,,drumstick,,,,,,,
1439,मठ/मटू,,Math,,,,,,,
1440,मात्थ्या घुव्ळी.,,vertigo,,,,,,,
1441,मात्ती,maatti,soil,,,,,,,
1442,मौन,,silence,,,,,,,
1443,मीsशी,,moustache,,,,,,,
1444,मीट्,,salt,,,,,,,
1445,मेगेले,,mine,,,,,,,
1446,मॅजं,,desk,,,,,,,
1447,मेजी,,count,,,,,,,
1448,मेक्कळि,,open,,,,,,,
1449,मेकोळ्चे,,untie,,,,,,,
1450,मेळ,,add,,,,,,,
1451,मेळा मेळि,,match making,,,,,,,
1452,मेळ्हे,,found,,,,,,,
1453,मेंल्लें,,dead,,,,,,,
1454,मेल्लि,,dead (female),,,,,,,
1455,मेल्लो,,dead (male),,,,,,,
1456,मेल्माथि,,clay,,,,,,,
1457,मेळोचे,,addition,,,,,,,
1458,मेळ्यां,,let us meet,,,,,,,
1459,मेन्डो,,brain,,,,,,,
1460,"मेर्वणिग, मेर्वणिकं",,procession,,,,,,,
1461,"मेर्वणिगे, मेर्वणिकं",,procession,,,,,,,
1462,मिर्वुचे/मेर्वुचे,,showing off,,,,,,,
1463,मेत्थी,,fenugreek,,,,,,,
1464,मेत्थू,,foundation of a building,,,,,,,
1465,मेव्णे,,guest,,,,,,,
1466,मेव्णि,,wifes sister,,,,,,,
1467,मेव्व्णो,,wifes brother,,,,,,,
1468,म्हांतू,,uncle (fathers elder brother),,,,,,,
1469,म्हांतु,,paternal uncle who is elder to father,,,,,,,
1470,म्हालु,,goods,,,,,,,
1471,म्हण,,"say it,and , proverb",,,,,,,
1472,म्हाशि,,buffalo,,,,,,,
1473,म्हाव,,aunt (fathers elder brothers wife); paternal uncles (who is elder to father) wife,,,,,,,
1474,म्हशि,,boffalo; buffalo,,,,,,,
1475,म्हारू महार,,of mahar caste. of low caste,,,,,,,
1476,मोव्हामूसू,,honey bee,,,,,,,
1477,म्होवू,,honey,,,,,,,
1478,मीरे,,pepper,,,,,,,
1479,मीरि,,"wrinkle/pleats, pleats of saree",,,,,,,
1480,मीशी,,moustache,,,,,,,
1481,मीट,,salt,,,,,,,
1482,मिर्सांग,,chilly,,,,,,,
1483,मिर्सांगं,,chillies,,,,,,,
1484,मिर्सान्ग,,chilly,,,,,,,
1485,मिड्शें/मिट्शें,,salty,,,,,,,
1486,मिट्शे,,salty,,,,,,,
1487,मोडी,,break,,,,,,,
1488,मोड्चे,,to cut or break,,,,,,,
1489,मोड्चि,,close/fold; wind,,,,,,,
1490,"मोड्चुचे, घडी कोर्चें",,"folding, to fold clothes etc.",,,,,,,
1491,माॅगारें,,jasmine,,,,,,,
1492,मोगाssचें ती ताग्गेली मोगाs धुव्ं आशीली,,dear,,,,,,,
1493,"मोग्गु, कोंबू",,Bud,,,,,,,
1494,मोगु,,"love, affection; love; affection / love",,,,,,,
1495,मोगु कोर्चे,,loving,,,,,,,
1496,माॅल,,cost / value,,,,,,,
1497,मोळ्को,,sprout,,,,,,,
1498,माॅळो,,metallic nail,,,,,,,
1499,मोळो,,nail,,,,,,,
1500,मोणू,,to break,ताक्का मोणू काढी,,,,,,
1501,मोरि,,"shark, a cubicle place where clothes or utensils are washed",,,,,,,
1502,मोरु,,peacock,,,,,,,
1503,मोट्टो,,egg,,,,,,,
1504,मोत्तो,,egg,,,,,,,
1505,मॅवा मूसू,,honey bee,,,,,,,
1506,मोव मूसु,,bee,,,,,,,
1507,मोवा मूसु,,bee,,,,,,,
1508,मोवाळ,,delicate; soft,,,,,,,
1509,मोवळ,,soft,,,,,,,
1510,मोव्गारे,,jasmine,,,,,,,
1511,मोवु,,soft,,,,,,,
1512,प्राणी,,animal,,,,,,,
1513,म्रुग,,animal,,,,,,,
1514,मुंडं,,white lungi,,,,,,,
1515,मुंड,,white apparel generally worn by men to cover the lower body,,,,,,,
1516,मुंडासु,,turban,,,,,,,
1517,"मुच्चळ, धांकणें",,cork,,,,,,,
1518,मुद्दी,,ring,,,,,,,
1519,मुद्धो,,lump,,,,,,,
1520,मुडिम्ब,,pimples,,,,,,,
1521,मुकारि,,further; front; ahead,,,,,,,
1522,मुकार्सुचे,,going ahead,,,,,,,
1523,मुखंडू,,chief,,,,,,,
1524,मुक्काल्वासू,,three fourth,,,,,,,
1525,"मुक्कालू,",,one fourths,कित्लो मुक्कालू दिल्लो,,,,,,
1526,मुक्थि,,salvation,,,,,,,
1527,मूळं,,base,,,,,,,
1528,मुलंगि,,radish,,,,,,,
1529,मुळाख,,at base,,,,,,,
1530,मुलामु,,ointment,,,,,,,
1531,मुल्लो,,corner,,,,,,,
1532,मुंगॉं,,sprout,,,,,,,
1533,मुष्टि,,clenched fist,,,,,,,
1534,मुश्टि,,fist,,,,,,,
1535,मुडिंब,,pimple,,,,,,,
1536,मूगु,,green gram,,,,,,,
1537,मूंई,,ant,,,,,,,
1538,मूळ,,root,,,,,,,
1539,मूलव्याधि,,piles,,,,,,,
1540,मूर्थि,,idol,,,,,,,
1541,मूसु,,housefly; fly; house fly; bee,,,,,,,
1542,मूसुम्बि,,sweet lime,,,,,,,
1543,मूत,,urine,,,,,,,
1544,मूथ,,urine,,,,,,,
1545,मूंयी,,ant,,,,,,,
1546,मूयिं,,ant,,,,,,,
1547,मॅळं,,meet,,,,,,,
1548,नां,,no,,,,,,,
1549,नंद्रुबाळे कॅळें,,plantain,,,,,,,
1550,नंजु,,septic,,,,,,,
1551,नाकं,,nose,,,,,,,
1552,नांकूटं,,finger nail; nail,,,,,,,
1553,"नंतर, माग्गीरी",,afterwards,,,,,,,
1554,ना,,no,,,,,,,
1555,नॅलं,,ground; floor,,,,,,,
1556,नांच,,dance,,,,,,,
1557,नांचणो,,raagi,,,,,,,
1558,नांक,,nose,,,,,,,
1559,नांकुट,,nail,,,,,,,
1560,नाडि,,pulse,,,,,,,
1561,भांगरां नगं,,jewellery,,,,,,,
1562,नागु,,cobra; serpent,,,,,,,
1563,नळो,,tiles (of the roof); tile,,,,,,,
1564,न्हाणं,,bath,,,,,,,
1565,विंग विंगडं,,various,,,,,,,
1566,न्हाणी,nhaaNi; nhaani,bathroom,,,,,,,
1567,नार्लु,,coconut,,,,,,,
1568,नाश,,destruction,,,,,,,
1569,नाटक,,drama; act,,,,,,,
1570,नात्थु,,grand daughter,,,,,,,
1571,नाथु,,grand son,,,,,,,
1572,नाति,,grand daughter,,,,,,,
1573,नात्रं,,grand children,,,,,,,
1574,नांव,,name,,,,,,,
1575,नावाधिक,,esteemed,,,,,,,
1576,नाव्चे,,bathing,,,,,,,
1577,नाग/सोरोपू,,snake,,,,,,,
1578,नग्गारो,,drums beaten in temple,,,,,,,
1579,नग्दि,,cash,,,,,,,
1580,नै,,no,,,,,,,
1581,नैवेद्य,,offerings to God; edible offerings to god,,,,,,,
1582,नाक्का,,do not want,,,,,,,
1583,नक्क्षी,,photograph,,,,,,,
1584,नक्षत्र,,star,,,,,,,
1585,नळ,,tap,,,,,,,
1586,नमस्कारु,,"hello, greetings; hello; salutations",,,,,,,
1587,नम्बिक,,faith,,,,,,,
1588,नंगण,,,,,,,,,
1589,नमुनो,,sample,,,,,,,
1590,नमूनो,,design; variety,,,,,,,
1591,नणंद,,husbands sister,,,,,,,
1592,नांक्क्षी,,infection on the finger nail or toe nail.,,,,,,,
1593,"नन्तर, माग्गिरी",,after,,,,,,,
1594,नर,,vein; nerves,,,,,,,
1595,नरक,,hell,,,,,,,
1596,नरकु,,hell,,,,,,,
1597,नश्ट,,loss,,,,,,,
1598,नशीबं,,luck,,,,,,,
1599,नात्तू,,grand son,,,,,,,
1600,नौव,,nine,,,,,,,
1601,नवें,,new,,,,,,,
1602,मोरू; मोssरू,moru,peacock; Peacock,,,,,,,
1603,नय,,smooth,,,,,,,
1604,"न्हयी,",,no,,,,,,,
1605,नॅलकट्लो,,peanuts,,,,,,,
1606,नेस्चे,,wearing clothes,,,,,,,
1607,न्हाण,nhaaN; Nhaan,bath,,,,,,,
1608,न्हाणि,,bathroom; bath; bath room,,,,,,,
1609,न्हाव्चे,,taking bath,,,,,,,
1610,न्हयि,,river,,,,,,,
1611,निम्गल्यारी,,if asked,,,,,,,
1612,निब्बर,,hard / half cooked,,,,,,,
1613,निडल,,forehead,,,,,,,
1614,निद्दता,,l sleep,,,,,,,
1615,निद्दे,,you sleep,,,,,,,
1616,निद्दोचे,,sleeping,,,,,,,
1617,धुवडि्,,brothers daughter,,,,,,,
1618,नीद,,sleep,,,,,,,
1619,नीळ,,blue,,,,,,,
1620,नील,,blue,,,,,,,
1621,"नीलि, नीळी",,indigo whitner for white clothes,,,,,,,
1622,नीट,,straight,,,,,,,
1623,निज्ज,,gum,,,,,,,
1624,निल्कुचे,,peeping,,,,,,,
1625,निम्गुचे,,asking,,,,,,,
1626,निमित्त,,cause,,,,,,,
1627,निप्चे,,hiding,,,,,,,
1628,निराशा,,disappointment,,,,,,,
1629,अवसंबूनू आस्चें/निर्भर,,dependent,,,,,,,
1630,निर्णय,,decision,,,,,,,
1631,उपजीविकानिर्वाहण,,TODO,,,,,,,
1632,निसणि,,ladder,,,,,,,
1633,"निसर्डें, निस्सर्",,"skid, to go away silently",,,,,,,
1634,निश्ययतांबूल,,engagement,,,,,,,
1635,निश्चित,,"certain, decided",,,,,,,
1636,निश्शे,,the supernatent starchy water when rice is cooked,,,,,,,
1637,निसोर्चे,,slipping,,,,,,,
1638,निस्सणि,,ladder,,,,,,,
1639,नित्राण,,weekness,,,,,,,
1640,नित्य,,"everyday, permanent",,,,,,,
1641,निवारण,,remedy,,,,,,,
1642,नियंत्रण,,control,,,,,,,
1643,लाॅणचें,,pickle,,,,,,,
1644,णोग्लि,,lady fish,,,,,,,
1645,नोण्चे,,pickle,,,,,,,
1646,नुत्त बैस,,shut up,,,,,,,
1647,न्याल,nyal,floor; land/ earth,,,,,,,
1648,न्यायु,,justice,,,,,,,
1649,वक्कद्,,medicine,,,,,,,
1650,"ओल्ले, वल्लें",,wet,,,,,,,
1651,ओळ्ळोचे,,combing,,,,,,,
1652,ओणि,,lane,,,,,,,
1653,वाॅंटे,,camel,,,,,,,
1654,ओप्पिगे,,approval,,,,,,,
1655,वाॅट्राशी,,"joint family , random",,,,,,,
1656,वाॅट्टों,,hole,,,,,,,
1657,ओट्टु/वोट्टू,,together,,,,,,,
1658,ओट्टु दीवि,,amount,,,,,,,
1659,ओट्टु दुड्डु,,amount,,,,,,,
1660,ओट्टु कोर्चे,,collecting,,,,,,,
1661,पाॅटं,,stomach,,,,,,,
1662,पॅज,,rice porridge; cooked rice with watery starch,,,,,,,
1663,पंचांग,,calender,,,,,,,
1664,पंचादिक,,"gossip, senseless talk",,,,,,,
1665,पंचादीक्,,gossip,,,,,,,
1666,पंथ/पंदाक्,,below,,,,,,,
1667,पांथ्थी,,row,,,,,,,
1668,पंक्ति,,line / row,,,,,,,
1669,किल्ले पंतां,,how many times?,,,,,,,
1670,फाल्या फांत्यारी,,early morning,,,,,,,
1671,पॅन्ट,,city,,,,,,,
1672,सकल्चे पॅन्ट,,downtown,,,,,,,
1673,बाजारू,,market,,,,,,,
1674,पॅड्वो,,sardine,,,,,,,
1675,पॅर,,guava,,,,,,,
1676,पेटी,,big box/trunk,,,,,,,
1677,पांच,,five,,,,,,,
1678,पाच्चि,,paternal uncles (who is younger to father) wife; paternal anty and mothers sister,,,,,,,
1679,पाच्ची,,paternal aunt; aunt (mothers sister); Addressing Elders Respectfully,,,,,,,
1680,पाच्वे,,green,,,,,,,
1681,पाडई,,drop,,,,,,,
1682,पागोरु,,wall,,,,,,,
1683,पाग्रमावु,,father in laws brother,,,,,,,
1684,पाक,,feather,,,,,,,
1685,पाक्ळी,,petal,,,,,,,
1686,पाळ,,roots of a tree; waves in the sea,,,,,,,
1687,पाळं,,wave,,,,,,,
1688,पळी/पळे,,see,,,,,,,
1689,पांळ्ळें,,cradle,,,,,,,
1690,पाल्लो,,leaf; leaves,,,,,,,
1691,पाळो,,cup,,,,,,,
1692,पान,,leaf,,,,,,,
1693,पाप,,sin,,,,,,,
1694,पाssप,,mild,,,,,,,
1695,परां,Paraan; paraan,day after tomorrow; day after tommorrow; day after,,,,,,,
1696,पार्लि,,garden lizard,,,,,,,
1697,पार्वो,,pigeon,,,,,,,
1698,पातssळ,,thin; saree,,,,,,,
1699,पाटू,,lesson,,,,,,,
1700,पात्तळ,,thin,,,,,,,
1701,पाट्या तोडोपू,,attire worn by men during marriage and religious festivities,,,,,,,
1702,पाट्टो,,belt,,,,,,,
1703,पाव,,reach,,,,,,,
1704,पावलं,,foot,,,,,,,
1705,पाव्लि,,coin,,,,,,,
1706,पावोचे,,delivery (of parcel),,,,,,,
1707,पाव्साडि,,rainy season,,,,,,,
1708,पाव्सु,,rain,,,,,,,
1709,पायु,,legs; leg,,,,,,,
1710,पाया वाळवंट,,tired leg,,,,,,,
1711,पाय्या बाॅटं,,toes,,,,,,,
1712,पच्छि,,aunt (fathers younger brothers wife),,,,,,,
1713,पाच्वो वाॅटाणो,,greenpeas,,,,,,,
1714,पद,,song,,,,,,,
1715,शॅरगं,,layer,,,,,,,
1716,पदवि,,degree,,,,,,,
1717,पाड्डो,,ox,,,,,,,
1718,पड्डो,,bull,,,,,,,
1719,पेंडी,,cows food,,,,,,,
1720,गुंपू,,group,,,,,,,
1721,पायकणी,,toilet,,,,,,,
1722,पैकानो,,toilet,,break it and take it out,,,,,
1723,पैकनो,,toilet,,,,,,,
1724,पैकि,,among,,,,,,,
1725,पैरि,,day before yesterday,,,,,,,
1726,पैशे/गुड्डू,,money,,,,,,,
1727,पक्षि,,bird; among,,,,,,,
1728,पळी,,see,,,,,,,
1729,पळे,,see,,,,,,,
1730,पळ्ळी,,fell (female),,,,,,,
1731,पळ्ळो,,fell (male); fell,,,,,,,
1732,पल्टि मर्चे,,somersault,,,,,,,
1733,पांळ्यां घाल्चें,,craddle ceremony,,,,,,,
1734,पाॅपशपळ,,papaya,,,,,,,
1735,परं,,day after tomorrow,,,,,,,
1736,परा,,day after tomorrow,,,,,,,
1737,परब,,festival,,,,,,,
1738,परमात्मु,,almighty,,,,,,,
1739,पाॅडदो,,curtain,,,,,,,
1740,पर्गांवु,,foreign (country); foreign; out of town,,,,,,,
1741,परिवारु,,family,,,,,,,
1742,फर्कटं,,old,,,,,,,
1743,पर्कट,,rags,,,,,,,
1744,पार्वती,,garden lizard,,,,,,,
1745,पर्वतु,,mountain,,,,,,,
1746,पशेॅं,,moisture,,,,,,,
1747,पतंग,,butterfly; kite,,,,,,,
1748,पतिव्रता,,chaste woman,,,,,,,
1749,पात्लाचें,,spreading,,,,,,,
1750,पत्रड्यापान,,arvi leaves,,,,,,,
1751,पात्थोरू,,stone,,gave 1/4th kilo,,,,,
1752,पट्टि,,band; collar,,,,,,,
1753,पत्ति,,list,,,,,,,
1754,पौंचे,,swimming,,,,,,,
1755,पवित्र,,sacred,,,,,,,
1756,पाठी भेंडी,,coin,,,,,,,
1757,पाॅवनां मांल्ले,,chain with golden coins,,,,,,,
1758,पॅडावण/आट्टी,,idly and pathrado steamer,,,,,,,
1759,पेद्रू,,gullible,,,,,,,
1760,पेड्वो,,sardine,,,,,,,
1761,पेस्काति,Peskati; peskaati; पेस्काति,knife; Knife; for knife,,,,,,,
1762,पेटि,,box; small box,,,,,,,
1763,पेटोचे,,sending,,,,,,,
1764,पेट्टू/पेट्टं,,blow,,,,,,,
1765,पेट्टं मार्चें,,beating / hitting,,,,,,,
1766,फांथी,,plait,,,,,,,
1767,फांति,,plait,,,,,,,
1768,फाग्र मांई,,mother in laws sister,,,,,,,
1769,फाल्हेक,,tommorrow,,,,,,,
1770,फाल्फालेरि,,early morning,,,,,,,
1771,फाति,,back,,,,,,,
1772,फाटि,,back,,,,,,,
1773,फाटिबेन्द,,spinal cord,,,,,,,
1774,फाट्टि,,back,,,,,,,
1775,फाटी,,tomorrow,,,,,,,
1776,फळें,,plywood,,,,,,,
1777,पण्ण्ं/पण्ण्ं,,seasoning,,,,,,,
1778,फट्टि,,lies; lie,,,,,,,
1779,फाई,faayi,tomorrow,,,,,,,
1780,फेणू,,foam,,,,,,,
